==== START logs for container token-broker-adc-init of pod kube-system/event-exporter-gke-cbf579745-5mr7t ====
==== END logs for container token-broker-adc-init of pod kube-system/event-exporter-gke-cbf579745-5mr7t ====
==== START logs for container event-exporter of pod kube-system/event-exporter-gke-cbf579745-5mr7t ====
I1001 19:12:19.631631       1 sink.go:101] Starting Stackdriver sink
W1002 01:44:39.262788       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 01:50:29.639512       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 01:58:16.568202       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 02:17:46.757392       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 02:29:22.786793       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 02:37:50.009654       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 02:43:57.646216       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 02:49:33.512229       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 02:59:19.879956       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 03:14:01.187107       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 03:30:38.700466       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 03:36:00.560033       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
